ticker,coingecko_id,price_usd,market_cap_usd,change_24h_pct,fetched_at_utc
HYPE,hyperliquid,65.69,14588614162.109087,-9.038242510924077,2026-06-04T11:46:01+00:00
BTC,bitcoin,62189.0,1246643915280.843,-7.169834528468878,2026-06-04T11:46:01+00:00
ETH,ethereum,1739.82,209972954188.4811,-7.239539402288601,2026-06-04T11:46:01+00:00
SOL,solana,67.99,39337817250.12329,-9.513063605167824,2026-06-04T11:46:01+00:00
