date,market_cap_usd,price_usd
2026-03-07,7429875990.850559,31.156275384799585
2026-03-08,7218580285.856758,30.287276306480123
2026-03-09,7330775406.951212,30.75364196232185
2026-03-10,8295942323.837143,34.79556737654389
2026-03-11,8133322717.490473,34.112814457671234
2026-03-12,8637132469.793058,36.252646028770464
2026-03-13,8899305990.368925,37.352025734826505
2026-03-14,8684194532.225943,36.431672131816015
2026-03-15,9030529128.002771,37.879241152118986
2026-03-16,8886905084.058113,37.27521040239698
2026-03-17,9716525628.185892,40.759022481593156
2026-03-18,9817546867.893759,41.212114544274634
2026-03-19,10037420612.946964,42.15477523509572
2026-03-20,9336726145.041437,39.157951460286014
2026-03-21,9424955295.834589,39.536643681726126
2026-03-22,9429693707.880074,39.412845115112134
2026-03-23,9160930583.446041,38.384091659026105
2026-03-24,8866384368.736395,37.19919829820406
2026-03-25,9622247924.23051,40.35505195463291
2026-03-26,9596883953.252699,40.264126986380155
2026-03-27,9306503225.743994,39.04217745870348
2026-03-28,9193086571.724155,38.58717920345506
2026-03-29,9404913865.55811,39.450764954560455
2026-03-30,9023333310.649424,37.825855566286805
2026-03-31,8757865975.385136,36.766318211381545
2026-04-01,8712783743.808138,36.5524523419518
2026-04-02,8577163473.930486,35.981977363924265
2026-04-03,8393169235.592716,35.20903248641202
2026-04-04,8490797572.694439,35.594493366686834
2026-04-05,8689369262.455582,36.46802455721605
2026-04-06,8806780782.567854,36.92873324679326
2026-04-07,8661929090.11392,36.335864924806764
2026-04-08,9212111989.425228,38.70338354449865
2026-04-09,9238401704.465471,38.73730874049812
2026-04-10,9403959435.710348,39.43769631028789
2026-04-11,9916115414.841852,41.58982010070348
2026-04-12,10073827471.237087,42.25273013544496
2026-04-13,9737587824.720121,40.84057383355932
2026-04-14,10563313738.183044,44.31564947795945
2026-04-15,10367275020.936817,43.500090439789425
2026-04-16,10620387339.348377,44.63665633343985
2026-04-17,10458860237.532883,43.86652522816223
2026-04-18,10610905589.465204,44.55257685189653
2026-04-19,10469907465.057243,43.85068364932832
2026-04-20,9691840473.187946,40.64327342841985
2026-04-21,9683629099.94131,40.59229077733377
2026-04-22,9501845698.092018,39.82201779473879
2026-04-23,9824680050.623592,41.20452868445118
2026-04-24,9836919578.138523,41.27577675882467
2026-04-25,9804494104.098095,41.13230817744893
2026-04-26,9890437413.331377,41.4890918997354
2026-04-27,10140301630.897652,42.53744233494801
2026-04-28,9915238963.786144,41.59844410694386
2026-04-29,9558838410.209314,40.09985000137028
2026-04-30,9517109169.398647,39.94540719085675
2026-05-01,9460812215.771103,39.668522814724625
2026-05-02,9803039197.17328,41.128410791536396
2026-05-03,9843518332.476944,41.293629795689256
2026-05-04,9889842326.505718,41.488044387977745
2026-05-05,9966565321.640732,41.80874227472581
2026-05-06,10409653586.679724,43.69117425457619
2026-05-07,10253462301.029251,43.020729474192095
2026-05-08,10136166176.05326,42.50435119516724
2026-05-09,10288209715.175377,43.170899201278985
2026-05-10,10238069453.431068,42.947494057193396
2026-05-11,10274147186.427038,43.09429900877976
2026-05-12,9994435917.382965,41.99080643323592
2026-05-13,9574968306.392744,40.175700266184585
2026-05-14,9268235871.016521,38.87972955615641
2026-05-15,10518032022.364414,44.1206305777644
2026-05-16,10531893670.214426,44.185774397042415
2026-05-17,9982951139.00872,41.90583471289556
2026-05-18,10743852712.616138,45.31359330136022
2026-05-19,11341593836.72454,47.48506347704847
2026-05-20,11483593354.262741,48.16159991405943
2026-05-21,12979211613.804953,54.49180366870602
2026-05-22,13994854508.381601,58.67823839803401
2026-05-23,13139337764.672915,55.08036444536184
2026-05-24,13908081602.833355,58.5300406890646
2026-05-25,15017327063.968239,62.99508734966046
2026-05-26,13614350248.066385,61.247840603250445
2026-05-27,13222710559.921072,59.41686819871029
2026-05-28,12835538484.272715,57.72665771937905
2026-05-29,13687499326.384832,61.53186355311289
2026-05-30,14302850227.48785,64.34490584438504
2026-05-31,15077776934.03428,68.14701116127944
2026-06-01,16001149105.767973,71.9871206393546
2026-06-02,16376479140.152582,73.5148095874548
2026-06-03,15448457188.196703,69.464039351745
2026-06-04,14588614162.109087,65.71369860069143
