asset,absorption_pct_10d,source,note
HYPE,1.04,FalconX (pub 2026-05-25) via spotedcrypto,reported - verify vs primary
Bitcoin,0.59,FalconX via spotedcrypto,reported - verify vs primary
Ethereum,0.41,FalconX via spotedcrypto,reported - verify vs primary
Solana,0.31,FalconX via spotedcrypto,reported - verify vs primary
